"","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","nursery","internet","guardian.x","traveltime.x","studytime.x","failures.x","schoolsup.x","famsup.x","paidsup.x","activities.x","higher.x","romantic.x","famrel.x","freetime.x","goout.x","DailyAlc.x","WeekendAlc.x","health.x","absences.x","MathG1","MathG2","MathGFinal","guardian.y","traveltime.y","studytime.y","failures.y","schoolsup.y","famsup.y","paidsup.y","activities.y","higher.y","romantic.y","famrel.y","freetime.y","goout.y","DailyAlc.y","WeekendAlc.y","health.y","absences.y","PorG1","PorG2","PorGFinal"
"1","GP","F",15,"R",">3","together","primary","primary","at_home","other","home","yes","yes","mother","15-30m",">10h",1,"yes","yes","yes","yes","yes","no","Neutral","VeryLow","Low",1,1,"VeryBad",2,7,10,10,"mother","15-30m",">10h",0,"yes","yes","yes","yes","yes","no","Neutral","VeryLow","Low",1,1,"VeryBad",4,13,13,13
"2","GP","F",15,"R",">3","together","primary","primary","other","other","reputation","no","yes","mother","<15m","2-5h",2,"yes","yes","no","no","yes","yes","Neutral","Moderate","High",2,4,"VeryGood",2,8,6,5,"mother","<15m","2-5h",0,"yes","yes","no","no","yes","yes","Neutral","Moderate","High",2,4,"VeryGood",2,13,11,11
"3","GP","F",15,"R",">3","together","middle","middle","at_home","other","reputation","yes","no","mother","<15m","<2h",0,"yes","yes","yes","yes","yes","no","Good","Moderate","VeryLow",1,1,"Bad",8,14,13,13,"mother","<15m","<2h",0,"yes","yes","no","yes","yes","no","Good","Moderate","VeryLow",1,1,"Bad",8,14,13,12
"4","GP","F",15,"R",">3","together","middle","higher","services","health","course","yes","yes","mother","<15m","5-10h",0,"yes","yes","yes","yes","yes","no","Good","Moderate","Low",1,1,"VeryGood",2,10,9,8,"mother","<15m","5-10h",0,"yes","yes","no","yes","yes","no","Good","Moderate","Low",1,1,"VeryGood",2,10,11,10
"5","GP","F",15,"R",">3","together","secondary","secondary","services","services","reputation","yes","yes","other","15-30m","5-10h",2,"no","yes","yes","yes","yes","yes","Good","Low","VeryLow",2,3,"Moderate",8,10,10,10,"other","15-30m","5-10h",0,"no","yes","yes","yes","yes","yes","Good","Low","VeryLow",2,3,"Moderate",2,13,13,13
"6","GP","F",15,"R",">3","together","secondary","higher","services","health","course","yes","yes","mother","<15m","5-10h",0,"yes","yes","yes","yes","yes","no","Good","Moderate","Low",1,1,"VeryGood",2,12,12,11,"mother","<15m","5-10h",0,"yes","yes","no","yes","yes","no","Good","Moderate","Low",1,1,"VeryGood",2,11,12,12
"7","GP","F",15,"R",">3","together","secondary","higher","services","teacher","course","yes","yes","father","15-30m","5-10h",2,"no","yes","no","no","yes","yes","Good","Low","Low",2,2,"VeryGood",0,12,0,0,"father","15-30m","5-10h",0,"no","yes","no","no","yes","yes","Good","Low","Low",2,2,"VeryGood",0,10,11,12
"8","GP","F",15,"R","<=3","together","middle","middle","health","services","reputation","yes","yes","mother","15-30m","2-5h",0,"yes","yes","yes","no","yes","no","Good","VeryLow","Moderate",1,3,"Good",2,8,9,8,"mother","15-30m","2-5h",0,"yes","yes","no","no","yes","no","Good","VeryLow","Moderate",1,3,"Good",0,11,10,11
"9","GP","F",15,"R","<=3","together","secondary","primary","other","other","reputation","no","yes","father","15-30m",">10h",0,"no","yes","no","no","yes","no","Good","High","Low",2,3,"Moderate",12,16,16,16,"father","15-30m",">10h",0,"no","yes","no","no","yes","no","Good","High","Low",2,3,"Moderate",6,15,15,15
"10","GP","F",15,"U",">3","apart","secondary","secondary","other","health","reputation","yes","no","father","<15m",">10h",0,"yes","no","no","no","yes","no","Good","Moderate","Moderate",1,1,"Good",10,10,11,11,"father","<15m",">10h",0,"yes","no","no","no","yes","no","Good","Moderate","Moderate",1,1,"Good",10,10,10,10
